slope,rainfall_7days,elevation,distance_to_road,landslide
23.7,356.5,465.0,347.0,0
52.5,84.7,714.0,81.0,0
41.6,292.4,531.0,416.0,1
34.9,307.3,774.0,318.0,1
12.8,217.8,232.0,680.0,0
12.8,370.9,1086.0,610.0,0
7.9,467.8,228.0,371.0,0
48.3,463.5,1621.0,226.0,1
35.1,230.9,544.0,988.0,1
40.4,65.5,1126.0,459.0,0
6.0,492.6,1772.0,691.0,0
53.5,421.1,1337.0,149.0,1
46.6,71.1,1113.0,491.0,0
15.6,461.2,716.0,37.0,0
14.1,436.2,733.0,510.0,0
14.2,264.2,1372.0,964.0,0
20.2,299.7,1989.0,390.0,0
31.2,205.5,1357.0,49.0,1
26.6,36.8,1160.0,41.0,0
19.6,174.2,1488.0,394.0,0
35.6,403.4,984.0,168.0,1
12.0,12.3,214.0,33.0,0
19.6,173.4,1168.0,759.0,0
23.3,205.1,1919.0,464.0,0
27.8,273.3,433.0,296.0,0
44.3,460.7,1411.0,901.0,1
15.0,179.7,482.0,125.0,0
30.7,180.0,1118.0,956.0,0
34.6,371.4,284.0,321.0,1
7.3,231.6,956.0,890.0,0
35.4,120.1,1537.0,607.0,0
13.5,231.7,760.0,828.0,0
8.3,79.0,1363.0,984.0,0
52.4,96.4,1611.0,296.0,0
53.3,254.2,1862.0,962.0,1
45.4,215.3,546.0,396.0,1
20.2,458.3,859.0,392.0,0
9.9,187.6,390.0,347.0,1
39.2,294.5,1986.0,546.0,1
27.0,319.8,1861.0,163.0,0
11.1,16.4,1126.0,558.0,0
29.8,335.1,1700.0,546.0,0
6.7,97.2,1090.0,764.0,0
50.5,480.9,1285.0,835.0,1
17.9,82.8,269.0,446.0,0
38.1,213.2,1535.0,309.0,1
20.6,51.8,343.0,267.0,0
31.0,498.5,1670.0,203.0,1
32.3,256.1,1586.0,67.0,1
14.2,301.7,1447.0,349.0,0
53.5,42.9,169.0,278.0,0
43.8,377.5,676.0,967.0,1
52.0,112.9,600.0,562.0,0
49.7,450.0,784.0,354.0,1
34.9,110.5,267.0,585.0,0
51.1,103.4,1880.0,148.0,0
9.4,27.9,1152.0,450.0,0
14.8,241.3,680.0,630.0,0
7.3,286.8,854.0,494.0,0
21.3,42.2,950.0,408.0,0
24.4,390.0,1241.0,994.0,0
18.6,232.1,1080.0,882.0,0
46.4,267.0,1847.0,627.0,1
22.8,226.0,1044.0,574.0,0
19.0,206.4,1985.0,624.0,0
32.1,284.2,1718.0,209.0,1
12.0,86.1,496.0,401.0,0
45.1,99.1,1868.0,49.0,0
8.7,432.3,321.0,481.0,0
54.3,473.6,1653.0,548.0,1
43.6,192.9,823.0,235.0,0
14.9,142.7,1768.0,964.0,0
5.3,325.6,1749.0,910.0,0
45.8,210.3,1631.0,725.0,1
40.3,22.4,1601.0,538.0,0
41.5,86.5,679.0,871.0,0
43.6,360.8,254.0,139.0,1
8.7,332.9,866.0,793.0,0
22.9,23.3,430.0,134.0,0
10.8,118.8,1420.0,796.0,0
48.2,123.2,758.0,283.0,0
36.2,339.2,1954.0,878.0,1
21.5,19.7,1318.0,945.0,0
8.2,61.0,1663.0,157.0,0
20.5,402.0,352.0,468.0,0
21.3,97.5,1738.0,981.0,0
41.5,329.8,1853.0,489.0,1
36.9,126.7,1025.0,865.0,0
49.4,58.7,1252.0,593.0,1
28.6,129.2,1553.0,382.0,0
11.0,363.9,432.0,293.0,0
40.7,429.3,1055.0,211.0,1
43.0,416.8,857.0,764.0,1
33.1,204.6,378.0,393.0,1
43.5,337.4,798.0,516.0,0
29.7,110.4,230.0,497.0,0
31.1,153.6,149.0,582.0,0
26.4,449.2,357.0,867.0,0
6.3,16.4,1930.0,981.0,0
10.4,51.9,1144.0,414.0,0
6.6,111.9,1935.0,829.0,0
36.8,23.0,922.0,767.0,1
20.7,98.9,692.0,578.0,0
30.4,295.7,1062.0,956.0,1
50.4,216.5,935.0,208.0,1
17.5,447.4,301.0,118.0,0
25.5,410.5,1318.0,855.0,0
42.8,177.5,510.0,445.0,0
16.4,137.1,1277.0,848.0,0
8.8,196.0,1335.0,894.0,0
19.5,299.2,389.0,72.0,0
13.1,141.4,217.0,885.0,0
51.5,315.8,1583.0,454.0,1
45.4,210.6,974.0,515.0,1
36.7,280.5,211.0,630.0,1
48.6,223.7,1990.0,927.0,1
45.2,154.3,210.0,29.0,0
14.3,474.7,1421.0,482.0,0
49.6,384.2,1969.0,691.0,1
32.0,78.7,554.0,725.0,0
45.4,435.5,370.0,696.0,1
49.8,248.8,331.0,143.0,1
20.9,448.3,676.0,306.0,0
10.5,401.9,292.0,365.0,0
16.4,218.4,1415.0,806.0,0
26.4,21.0,218.0,286.0,0
45.9,141.7,1068.0,219.0,0
48.0,275.4,1994.0,958.0,1
5.3,320.4,1647.0,19.0,0
30.5,136.4,1269.0,998.0,0
25.9,78.3,682.0,680.0,0
16.1,419.1,1285.0,830.0,0
11.0,492.4,1101.0,302.0,0
21.9,267.6,910.0,24.0,0
52.1,94.1,348.0,740.0,0
21.2,143.4,1785.0,836.0,0
30.9,19.0,955.0,743.0,1
40.2,458.0,470.0,151.0,1
23.2,67.7,799.0,756.0,0
53.6,292.5,887.0,771.0,1
53.1,144.3,1672.0,662.0,0
17.6,281.5,1494.0,768.0,0
29.9,329.2,1562.0,847.0,0
20.0,416.6,121.0,617.0,0
19.2,111.1,891.0,98.0,0
6.8,15.4,1015.0,493.0,0
35.5,77.1,136.0,87.0,0
30.1,451.0,594.0,413.0,1
7.6,438.2,1545.0,413.0,0
